user_id,username,password,email,role
1,Alex,$2b$12$kEpKp3z0P3bH9Brk1tlx1eJIaRgmiioYYq88SPMfaZRMLtwbrpw06,alex@gmail.com,admin
2,Sandra,$2b$12$JQGv3huSfqUNo9csqxcdXeCeKbPsGmRhPpfjYA.YAXESKlsPt393O,sandra2@gmail.com,customer
3,Anthony,$2b$12$GqL1WaFxyKG/KevTsgfV7eYjdOU.LNywdXp5OlGeKSWlQQjcmhpZy,anthony3@gmail.com,customer
4,Laura,$2b$12$lVn0HHEr5DvjZ//gmr3FkuxtE6cLFJdnAFLJWw3qGweyfEAqD3p7y,laura4@gmail.com,customer
5,Patrick,$2b$12$oN69Bdnx7aPqgcFRBu1y/ewmepF0tNHOKBsd1eMLtg6vZYNLQEjFS,patrick5@gmail.com,customer
6,Gina,$2b$12$xRFEaNjkad2357xjl.De9.BP2Sco0seI8los0NSGP.LN/CPaXh1ey,gina6@gmail.com,customer
7,Ashley,$2b$12$Hbb1Xewin1LZtK9Y63kFpOrpUe1nYlvwjQrpYg4Hgliv.FsmyONJO,ashley7@gmail.com,customer
8,Emily,$2b$12$lfmkgafT/Ao297Cf69jtRusN0Keb4bBZUgSRDI8yr/BpBSviD22Ma,emily8@gmail.com,customer
9,Jennifer,$2b$12$5qaiFkv8t3FN9YzWXUcrVek5BSZEjC7tGRUHv5cAVAIqMLUA5d9vu,jennifer9@gmail.com,customer
10,Caroline,$2b$12$clyM5ULVVXH/BoJadhI0S.F2mnwmXlU2Y7bPcXHcO/KReATpgy0H.,caroline10@gmail.com,customer
11,Anthony,$2b$12$/GDCPB2fwyHT1Fag7RBqY.6HUtn6tax7nvDiF0/lk0PaePZXhMjEu,anthony11@gmail.com,customer
12,Steven,$2b$12$cE80Q.a6hjvEWc9VU8wXqeLVt7ErX.AxTIZpbwBgYOktxbyz/9OJe,steven12@gmail.com,customer
13,Scott,$2b$12$vUJ7spuEc6J13eAs.8XSx.g.ua0PJhLcR9PDcLxa3P7/uZh7y0a2K,scott13@gmail.com,customer
14,Daniel,$2b$12$BHUwe3NmqWrcRaY.Dz/u6u1L40AmVY5R6YTUg2RbGBRgN0oo6tGDy,daniel14@gmail.com,customer
15,Aaron,$2b$12$jyntZHAuv4sS9Ny2jBzbKeFt2GPVrtER2rQVfaVJkMdKbRvW8f1Yu,aaron15@gmail.com,customer
16,Brandon,$2b$12$qfRyQwEbR8GvgGcju7Zmpumg/l8vPfB4r9UHFq75jOIQL0Xn8HVl2,brandon16@gmail.com,customer
17,Michelle,$2b$12$DXTfe2uHy3DL1tZ/9C/u2utUSAn2UMo.J.R11G5n5CB5o1zakfzV2,michelle17@gmail.com,customer
18,Amber,$2b$12$B8C8qOb.8WRaYc0fLlMzKOysLOPMOtsX1MHQNPLzWN4UkoFERorF2,amber18@gmail.com,customer
19,James,$2b$12$xP1hfPVUZTWzcOVi6whbnONiHIufvrp83n3mmYIeEhIi5MFFOqLwm,james19@gmail.com,customer
20,Peter,$2b$12$ZYVQCxtBluKBALehTH/TSO1RvvQ02CD9W/zd52EmAj67I2k8AC7Xa,peter20@gmail.com,customer
21,Gary,$2b$12$yyfYWr6KihtNplwntDDqjORqbNh6pzIi8ljRA2CckWD/3I3POcu4W,gary21@gmail.com,customer
22,Christopher,$2b$12$edvKr2Zc8ABU5Vakfoicc.5qfcWCnMXtGo/2clqKXleeHtVFweT3y,christopher22@gmail.com,customer
23,Terri,$2b$12$aN9i2VJ1kk1i0l7gh2QTy.B535MC4EaAlF2xoNpJVNUHr4redTOUS,terri23@gmail.com,customer
24,Marissa,$2b$12$A9MS3dU0YJoBbq9Q0RPv5Op46lkdtkrKsUjKpNI5I88rUTc6aizZK,marissa24@gmail.com,customer
25,Tonya,$2b$12$1X3EcVdrcVyloE00mHsn3OODPZzca2hDNomwPoDvenhnSeQSGwCb2,tonya25@gmail.com,customer
26,Anna,$2b$12$a.zq/AJrZq8iTHTIE4HO/e9Z4d4pRDhHMIstgc7nPOaPOjYoJ4OkG,anna26@gmail.com,customer
27,Rebecca,$2b$12$BPI8FqZMWtNxDr7iC7yC1uWKlBYxbOBFOtQa51PCOmIxlWXMUP2Gu,rebecca27@gmail.com,customer
28,Nicholas,$2b$12$AJ1iyOBdFgrsX0YayS2.2uNimMzdT9k9vaxn9EXRoAA4ALD9QOFk.,nicholas28@gmail.com,customer
29,Sharon,$2b$12$pcW1glPLNImVuJpEbHSmwua2pRFrG.ydk.4GnJ2/jijkY9yDnsSFC,sharon29@gmail.com,customer
30,Bailey,$2b$12$afHSgi/pom03xbNziNZ5K.J04.PE0WwO3rx1rO0W1DmKPXhiBfIW.,bailey30@gmail.com,customer
